filename,object_type,object_name
0036.sql,FUNCTION,SCT_0036_GET_REMOTE_DATA
0036.sql,FUNCTION,SCT_0036_GET_SESSION_INFO
0036.sql,TABLE,T_0036_EMPLOYEES
0036.sql,TABLE,SCT_0036_REMOTE_TABLE
0037.sql,FUNCTION,SCT_0037_UPDATE_WITH_COMMIT
0037.sql,TABLE,T_0037
0038.sql,PROCEDURE,SCT_0038_DUAL
0039.sql,PROCEDURE,SCT_0039_CREATE_BASIC_JOB
0040.sql,TABLE,T_0040
0041.sql,TABLE,T_0041
0041.sql,TABLE,T_0041_AUDIT
0041.sql,SEQUENCE,T_0041_AUDIT_SEQ
0041.sql,TRIGGER,SCT_0041_COLUMN_UPDATE_TRIGGER
0042.sql,PROCEDURE,SCT_0042_DEMO_CURSOR_ALREADY_OPEN
0042.sql,TABLE,T_0042
0043.sql,PROCEDURE,SCT_0043_COMPLEX_DYNAMIC_SQL
0043.sql,PROCEDURE,SCT_0043_COMPLEX_RAW_OPERATIONS
0043.sql,PROCEDURE,SCT_0043_LABELED_BLOCKS_WITH_GOTO
0043.sql,PROCEDURE,SCT_0043_PRAGMA_HEAVY_PROCEDURE
0043.sql,PROCEDURE,SCT_0043_XML_PROCESSING
0044.sql,PROCEDURE,SCT_0044_CONCAT_RAW_EXAMPLE
0045.sql,PROCEDURE,SCT_0045_ORACLE_DATE_TIMESTAMP_DEMO
0046.sql,TABLE,T_0046
0047.sql,PROCEDURE,SCT_0047_COMPLEX_OUTER_JOIN_REPORT
0047.sql,TABLE,T_0047_EMPLOYEES
0047.sql,TABLE,T_0047_DEPARTMENTS
0047.sql,TABLE,T_0047_LOCATIONS
0047.sql,TABLE,T_0047_PROJECTS
0048.sql,PROCEDURE,SCT_0048_CONNECT_BY_NOCYCLE_SAMPLE
0049.sql,PROCEDURE,SCT_0049_TIMESTAMP
0050.sql,TABLE,T_0050
0051.sql,PROCEDURE,SCT_0051_GET_ERROR_MESSAGE
0052.sql,PROCEDURE,SCT_0052_CHECK_SQLCODE_SAMPLE
0052.sql,TABLE,T_0052
0053.sql,TABLE,SCT_0053_REMOTE_TABLE
0054.sql,PROCEDURE,SCT_0054_GET_TABLE_DATA
0054.sql,FUNCTION,SCT_0054_GET_GREETING
0054.sql,FUNCTION,SCT_0054_GET_TABLE_NAME
0054.sql,FUNCTION,SCT_0054_GET_TABLE_VALUE
0054.sql,FUNCTION,SCT_0054_INSERT_DATA
0054.sql,TABLE,T_0054
0055.sql,PROCEDURE,SCT_0055_UPDATE_FROM_SUBQUERY
0055.sql,TABLE,T_0055_1
0055.sql,TABLE,T_0055_2
0056.sql,PROCEDURE,SCT_0056_SAVEPOINT_DEMO
0056.sql,TABLE,T_0056
0057.sql,PROCEDURE,SCT_0057_STRING_OPERATIONS
0057.sql,PROCEDURE,SCT_0057_EXTRACT_PATTERNS
0057.sql,TABLE,T_0057_STRINGS
0058.sql,PROCEDURE,SCT_0058_GET_TRANSACTION_ID
0059.sql,PROCEDURE,SCT_0059_DYNAMIC_SQL_WITH_BIND
0060.sql,PROCEDURE,SCT_0060_COLLECTION_TYPES_DEMO
0061.sql,PROCEDURE,SCT_0061_MULTIPLE_BULK_COLLECT
0061.sql,PROCEDURE,SCT_0061_NESTED_BULK_COLLECT
0061.sql,TABLE,T_0061_EMPLOYEES
0061.sql,TABLE,T_0061_DEPARTMENTS
0062.sql,PROCEDURE,SCT_0062_PROCESS_DATA
0062.sql,FUNCTION,SCT_0062_GENERATE_DATA
0062.sql,TYPE,SCT_0062_DATA_OBJ_TYPE
0062.sql,TYPE,SCT_0062_DATA_TAB_TYPE
0063.sql,TABLE,T_0063
0064.sql,TABLE,T_0064
0064.sql,TABLE,T_0064_2
0065.sql,TABLE,T_0065
0066.sql,TABLE,T_0066
0067.sql,TABLE,T_0067_1
0067.sql,TABLE,T_0067_2
0067.sql,TABLE,T_0067_3
0068.sql,PROCEDURE,SCT_0068_INSERT_USER
0068.sql,PROCEDURE,SCT_0068_TEST_ERROR_CODES
0068.sql,TABLE,T_0068_USERS
0068.sql,TABLE,T_0068_ERROR_LOG
0068.sql,SEQUENCE,T_0068_LOG_SEQ
0069.sql,PROCEDURE,SCT_0069_PROCESS_WITH_CURSOR
0069.sql,PROCEDURE,SCT_0069_MAIN_PROCEDURE
0069.sql,TABLE,T_0069
0069.sql,TABLE,T_0069_LOG
0069.sql,SEQUENCE,T_0069_LOG_SEQ
0070.sql,PROCEDURE,SCT_0070_INSERT_WITH_CONTEXT
0070.sql,PROCEDURE,SCT_0070_UPDATE_WITH_CONTEXT
0070.sql,TABLE,T_0070
0070.sql,PACKAGE,SCT_0070_USER_CTX_PKG
0070.sql,PACKAGE,BODY
0070.sql,PACKAGE_BODY,SCT_0070_USER_CTX_PKG
0071.sql,PROCEDURE,SCT_0071_CURSOR_SYNC_ISSUE_DEMO
0072.sql,PROCEDURE,SCT_0072_GET_ITEM
0072.sql,PROCEDURE,SCT_0072_GET_ITEM
0072.sql,PROCEDURE,SCT_0072_GET_ITEM
0072.sql,PROCEDURE,SCT_0072_CASE_TEST
0072.sql,PROCEDURE,SCT_0072_CASE_TEST
0072.sql,TABLE,T_0072
0072.sql,PACKAGE,SCT_0072_PKG
0072.sql,PACKAGE,BODY
0072.sql,PACKAGE_BODY,SCT_0072_PKG
0073.sql,PROCEDURE,SCT_0073_CREATE_COMPLEX_INDEX
0073.sql,PROCEDURE,SCT_0073_CREATE_DYNAMIC_TABLE
0073.sql,PROCEDURE,SCT_0073_CREATE_MATERIALIZED_VIEW
0073.sql,PROCEDURE,SCT_0073_CREATE_PARTITIONED_TABLE
0073.sql,PROCEDURE,SCT_0073_CREATE_TABLE_WITH_ORACLE_FEATURES
0074.sql,PROCEDURE,SCT_0074_JAPANESE_SORT
0074.sql,PROCEDURE,SCT_0074_COLLATE_SORT
0074.sql,PROCEDURE,SCT_0074_NLSSORT_JAPANESE
0074.sql,TABLE,T_0074
0075.sql,PROCEDURE,SCT_0075_FORALL
0075.sql,TABLE,T_0075
0076.sql,PROCEDURE,SCT_0076_READ_FILE
0076.sql,PROCEDURE,SCT_0076_WRITE_FILE
0076.sql,TABLE,T_0076
0077.sql,PACKAGE,SCT_0077_PKG
