filename,object_type,object_name
0001.sql,PROCEDURE,SCT_0001_CALCULATE_TIME_DIFFERENCE
0001.sql,PROCEDURE,SCT_0001_COMBINED_TYPES_EXAMPLE
0001.sql,PROCEDURE,SCT_0001_PROCESS_FILE_DATA
0001.sql,PROCEDURE,SCT_0001_PROCESS_NESTED_TABLE
0001.sql,PROCEDURE,SCT_0001_PROCESS_XML_DATA
0001.sql,PROCEDURE,SCT_0001_UPDATE_BY_ROWID
0001.sql,TABLE,SCT_0001_COMBINE_TYPE
0002.sql,PROCEDURE,SCT_0002_PROCESS_ANY_DATA
0002.sql,PROCEDURE,SCT_0002_PROCESS_MATRIX
0002.sql,PROCEDURE,SCT_0002_PROCESS_ORDER
0002.sql,PROCEDURE,SCT_0002_PROCESS_PERSON
0002.sql,PROCEDURE,SCT_0002_DYNAMIC_CURSOR_OPERATIONS
0002.sql,TYPE,SCT_0002_MATRIX_ROW_TYPE
0002.sql,TYPE,SCT_0002_MATRIX_TYPE
0002.sql,TYPE,SCT_0002_ITEM_TYPE
0002.sql,TYPE,SCT_0002_ITEM_LIST_TYPE
0002.sql,TYPE,SCT_0002_ORDER_TYPE
0002.sql,TYPE,BODY
0002.sql,TYPE,SCT_0002_ADDRESS_TYPE
0002.sql,TYPE,SCT_0002_PERSON_TYPE
0002.sql,TYPE,BODY
0002.sql,TYPE_BODY,SCT_0002_ORDER_TYPE
0002.sql,TYPE_BODY,SCT_0002_PERSON_TYPE
0003.sql,TYPE,T_0003_TYPE
0004.sql,PROCEDURE,SCT_0004_DUMMY
0005.sql,PROCEDURE,SCT_0005_COMMIT
0005.sql,PROCEDURE,SCT_0005_CALL_COMMIT
0005.sql,TABLE,T_0005
0006.sql,TABLE,T_0006
0007.sql,PROCEDURE,SCT_0007_INSERT_RECORD
0007.sql,TABLE,T_0007
0008.sql,PROCEDURE,SCT_0008_JSON_ARRAY_DEMO
0008.sql,TABLE,T_0008
0009.sql,PROCEDURE,SCT_0009_UPDATE_TABLENAME_AS_SUBQUERY
0009.sql,TABLE,T_0009
0010.sql,PROCEDURE,SCT_0010_DELETE_TABLENAME_AS_SUBQUERY
0010.sql,TABLE,T_0010
0011.sql,PROCEDURE,SCT_0011_GET_EMPLOYEE_INFO
0011.sql,TABLE,T_0011
0012.sql,PROCEDURE,SCT_0012_HIERARCHY_QUERY
0012.sql,TABLE,T_0012
0013.sql,TABLE,T_0013
0013.sql,VIEW,T_0013_VIEW
0014.sql,PROCEDURE,SCT_0014_PIVOT_SAMPLE
0015.sql,PROCEDURE,SCT_0015_DYNAMIC_SEARCH
0015.sql,PROCEDURE,SCT_0015_DYNAMIC_UPDATE
0015.sql,TABLE,T_0015
0015.sql,TABLE,T_0015_LOG
0015.sql,SEQUENCE,T_0015_LOG_SEQ
0016.sql,PROCEDURE,SCT_0016_DYNAMIC_BULK_COLLECT
0016.sql,TABLE,T_0016
0017.sql,PROCEDURE,SCT_0017_UPDATE_MATERIALIZED_VIEW
0017.sql,PROCEDURE,SCT_0017_INSERT_INTO_MATERIALIZED_VIEW
0017.sql,PROCEDURE,SCT_0017_DELETE_FROM_MATERIALIZED_VIEW
0017.sql,TABLE,T_0017
0018.sql,PROCEDURE,SCT_0018_ORACLE_HINTS_SAMPLE
0019.sql,PROCEDURE,SCT_0019_PROCESS_ORDERS
0019.sql,TABLE,T_0019_PRODUCTS
0019.sql,TABLE,T_0019_ORDERS
0020.sql,PROCEDURE,SCT_0020_SIMPLE_FORALL
0020.sql,TABLE,T_0020_DATA
0021.sql,PROCEDURE,SCT_0021_CROSS_JOIN
0021.sql,TABLE,T_0021_DEPARTMENTS
0021.sql,TABLE,T_0021_EMPLOYEES
0022.sql,PROCEDURE,SCT_0022_XMLSEQUECE
0022.sql,TABLE,T_0022
0023.sql,PROCEDURE,SCT_0023_PROCESS_WITH_LOCK
0023.sql,TABLE,T_0023
0024.sql,TABLE,T_0024
0024.sql,TYPE,T_0024_PERSON_TYPE
0024.sql,TYPE,BODY
0024.sql,TYPE_BODY,T_0024_PERSON_TYPE
0025.sql,TABLE,T_0025_DEPARTMENTS
0025.sql,TABLE,T_0025_EMPLOYEES
0026.sql,TABLE,T_0026
0027.sql,TABLE,T_0027
0028.sql,TABLE,T_0028_DOCUMENTS
0028.sql,INDEX,T_0028_TEXT_IDX
0029.sql,TABLE,T_0029
0030.sql,PROCEDURE,SCT_0030_GET_EMPLOYEES_TYPED
0030.sql,TABLE,T_0030
0031.sql,TABLE,T_0031
0031.sql,TRIGGER,T_0031_TRIGGER
0032.sql,PROCEDURE,TO
0032.sql,TABLE,T_0032
0032.sql,TRIGGER,TO
0033.sql,TABLE,T_0033
0033.sql,TYPE,T_0033_ADDRESS_TYPE
0033.sql,TYPE,T_0033_PHONE_TYPE
0033.sql,TYPE,T_0033_PHONE_TABLE_TYPE
0033.sql,VIEW,T_0033_VIEW
0033.sql,VIEW,T_0033_VIEW2
0034.sql,TABLE,T_0034
0034.sql,VIEW,T_0034_VIEW
0035.sql,TABLE,T_0035
0035.sql,TABLE,T_0035_REF
0035.sql,TRIGGER,SCT_0035_TRIGGER
0036.sql,FUNCTION,SCT_0036_CREATE_BINARY_ID
0036.sql,FUNCTION,SCT_0036_FETCH_WEB_CONTENT
0036.sql,FUNCTION,SCT_0036_GET_EMPLOYEE_HIERARCHY
0036.sql,FUNCTION,SCT_0036_GET_FILE_CONTENT
